Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,real_costs_of_goods_sold,real_tangible_fixed_assets
37507114,ABS-CBN CORPORATION,2014,Philippines (the),PH,2630,Manufacturing,5497,766368.8138,384243.2522,461092.0326,817968.5854,410114.4303,492137.4551
37507114,ABS-CBN CORPORATION,2015,Philippines (the),PH,2630,Manufacturing,5711.5,816573.2061,416134.2051,462156.0639,877871.1375,447372.2689,496848.8636
37507114,ABS-CBN CORPORATION,2016,Philippines (the),PH,2630,Manufacturing,5926,844762.6571,407608.4379,492039.8318,896696.1873,432667.009,522288.9973
37507114,ABS-CBN CORPORATION,2017,Philippines (the),PH,2630,Manufacturing,6566,827203.1646,413605.0176,514812.734,858145.9715,429076.5495,534070.0963
37507114,ABS-CBN CORPORATION,2018,Philippines (the),PH,2630,Manufacturing,6730,767266.2682,405829.4688,528708.4855,767266.2682,405829.4688,528708.4855
37507114,ABS-CBN CORPORATION,2019,Philippines (the),PH,2630,Manufacturing,6686,853859.7258,435294.9701,541418.5116,847948.8752,432281.6373,537670.5377
37507114,ABS-CBN CORPORATION,2020,Philippines (the),PH,2630,Manufacturing,4012,453498.4247,335573.4137,557046.0316,443046.637,327839.4463,544207.7801
37507114,ABS-CBN CORPORATION,2021,Philippines (the),PH,2630,Manufacturing,3899,358564.7251,224739.1228,517703.0471,342483.7584,214659.9876,494485.02
37507114,ABS-CBN CORPORATION,2022,Philippines (the),PH,2630,Manufacturing,3867,391612.3676,220987.474,435878.2088,354587.2295,200094.1304,394667.9401
37507114,ABS-CBN CORPORATION,2023,Philippines (the),PH,2630,Manufacturing,3634,342983.9255,212579.4602,598489.8704,296894.9588,184013.7843,518066.9186
37507114,ABS-CBN CORPORATION,2024,Philippines (the),PH,2630,Manufacturing,2611,354926.4039,202659.852,338516.917,298532.8292,170459.6173,284730.6142
37507401,ACEN CORPORATION,2003,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",16,7981.3742,6021.720512,1982.634126,13272.95958,10014.07163,3297.104229
37507401,ACEN CORPORATION,2004,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",16,9109.122463,7026.765157,3135.479016,14305.68245,11035.38474,4924.202887
37507401,ACEN CORPORATION,2005,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",31,13506.71843,9503.835129,3763.582027,20028.16932,14092.57328,5580.752906
37507401,ACEN CORPORATION,2006,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",37,12991.16675,9516.750863,13145.44502,18326.89845,13425.47056,18544.54189
37507401,ACEN CORPORATION,2007,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",78,34681.77044,25806.6951,16024.61269,47425.58351,35289.36262,21912.85501
37507401,ACEN CORPORATION,2008,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",93,34358.11349,29187.38583,13059.72428,43835.92315,37238.8316,16662.29637
37507401,ACEN CORPORATION,2009,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",95,22261.90741,8407.670902,9204.590379,27645.91822,10441.05422,11430.70754
37507401,ACEN CORPORATION,2010,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",72,21800.47891,17605.53751,11149.04885,25939.12475,20947.80742,13265.60623
37507401,ACEN CORPORATION,2011,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",69,30115.18939,11811.94262,10973.73007,34481.07007,13524.35198,12564.62148
37507401,ACEN CORPORATION,2012,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",79,25040.34739,1615.99338,14721.79049,28109.95251,1814.092132,16526.48125
37507401,ACEN CORPORATION,2013,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",64,50954.4525,20479.12869,53825.7319,56045.63742,22525.32928,59203.80469
37507401,ACEN CORPORATION,2014,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",143,38416.29913,9862.518876,153821.6167,41002.87654,10526.56432,164178.4582
37507401,ACEN CORPORATION,2015,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",254,286424.4783,236173.9803,156507.1443,307925.5855,253902.9191,168255.7103
37507401,ACEN CORPORATION,2016,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",292,320205.8517,267981.8336,128772.9716,339891.1682,284456.5706,136689.5562
37507401,ACEN CORPORATION,2017,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",271,341108.7558,324942.6205,122793.1172,353868.4536,337097.5991,127386.3826
37507401,ACEN CORPORATION,2018,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",250,287665.0984,269233.5294,109266.4298,287665.0984,269233.5294,109266.4298
37507401,ACEN CORPORATION,2019,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",92,323548.3401,258850.7602,520074.8651,321308.5742,257058.8638,516474.6428
37507401,ACEN CORPORATION,2020,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",138,457523.2809,200127.5648,711577.8363,446978.7323,195515.2206,695178.087
37507401,ACEN CORPORATION,2021,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",207,529079.4998,343780.6818,751842.3355,505351.2599,328362.7522,718123.5931
37507401,ACEN CORPORATION,2022,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",233,850348.8801,531488.1521,1107000.627,769952.3264,481238.4055,1002338.838
37507401,ACEN CORPORATION,2023,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",310,754295.4726,522549.349,1748195.042,652935.9152,452331.0159,1513278.776
37507401,ACEN CORPORATION,2024,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",333,696041.7626,403380.3102,2246137.349,585449.0237,339287.9874,1889252.9
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2003,Philippines (the),PH,5510,Accommodation and food service activities,676,10182.0185,6034.476815,19527.22877,16932.61294,10035.28526,32473.62068
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2004,Philippines (the),PH,5510,Accommodation and food service activities,665,7702.827494,4239.465353,23289.61885,12097.12621,6657.989872,36575.84942
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2005,Philippines (the),PH,5510,Accommodation and food service activities,666,12060.35811,7136.054688,23889.98902,17883.46264,10581.55705,35424.79602
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2006,Philippines (the),PH,5510,Accommodation and food service activities,613,13800.82238,8235.935906,23942.33918,19469.09582,11618.59931,33775.93617
